Hidropatia Total,Hidropatia Media,Hidropatia C-Terminal,Carga C-Terminal,Aminoacidos Basicos C-Terminal,Dupla Helice,Sinal Nuclear,Sinal Mitocondrial,Dominio Prenilacao,c#CLASSE
-82.8,-0.1,17.1,-5,0,1,0,0,0,0
67.6,0.29,19.4,1,3,1,0,0,0,0
120.2,0.6,-24.0,3,7,1,0,0,0,0
-16.2,-0.15,-3.4,0,4,1,0,0,0,0
-63.4,-0.22,3.2,5,5,1,0,0,0,0
11.7,0.04,-9.6,5,6,1,0,1,0,0
-626.8,-0.56,-36.2,4,5,1,1,1,0,0
-930.7,-0.52,-15.0,2,6,1,1,1,0,0
-53.8,-0.13,-3.9,-1,2,1,0,1,0,0
-59.1,-0.16,-17.1,2,6,1,0,0,0,0
197.4,0.39,15.8,2,3,1,0,0,0,0
-182.4,-0.28,-28.8,2,6,1,0,0,0,0
199.6,0.72,34.4,3,3,1,0,0,0,0
449.5,0.9,26.8,1,2,0,0,1,0,0
-50.6,-0.24,-18.3,6,7,1,0,0,1,0
-161.5,-0.11,2.4,-4,0,1,1,0,0,0
-139.7,-0.1,-6.9,0,5,1,1,0,0,0
-40.4,-0.24,-27.5,-5,3,1,0,0,0,0
-80.3,-0.2,16.3,-1,3,1,0,0,0,0
27.3,0.24,-4.2,3,5,0,0,0,0,0
116.3,0.36,-14.8,-1,4,1,0,1,0,0
-14.9,-0.13,-17.0,-1,3,1,0,1,0,0
-35.2,-0.04,-5.6,3,5,1,0,0,0,0
266.5,0.75,25.7,1,2,1,0,1,0,0
-35.6,-0.15,-6.0,1,4,1,0,0,0,0
-78.3,-0.18,-14.2,-2,1,1,0,0,0,0
-89.2,-0.1,-26.5,-6,3,1,1,0,0,0
-15.6,-0.07,-18.2,2,5,1,0,0,0,0
18.6,0.06,-2.9,-1,2,0,0,0,0,0
26.6,0.09,-22.4,0,4,1,0,0,0,0
-294.7,-0.36,-8.6,0,4,1,1,0,0,0
41.6,0.09,-2.0,0,4,1,0,1,0,0
-94.8,-0.22,-30.3,9,11,1,0,1,0,0
19.4,0.05,-4.5,2,4,1,0,0,0,0
-48.8,-0.11,-12.0,6,6,1,0,0,0,0
-23.1,-0.04,1.3,-4,1,1,0,1,0,0
-159.1,-0.18,-3.5,-3,2,1,1,0,0,0
10.2,0.03,-10.6,3,7,1,0,1,0,0
128.8,0.76,-5.8,0,4,0,0,0,0,0
-15.0,-0.05,-36.3,4,8,1,0,0,0,0
96.3,0.31,25.8,-1,1,1,0,1,0,0
46.0,0.15,16.5,0,2,1,0,1,0,0
-12.2,-0.03,-23.5,-1,2,1,0,0,0,0
-14.4,-0.08,-5.7,0,3,1,0,0,0,0
-38.3,-0.24,13.6,1,3,1,0,0,0,0
-0.3,-0.0,0.5,-1,2,1,0,0,0,0
-68.9,-0.1,-5.9,0,5,1,0,0,0,0
-12.1,-0.04,4.9,2,4,1,0,0,0,0
-46.5,-0.16,-10.5,1,3,1,0,0,0,0
99.5,0.31,17.5,1,3,1,0,1,0,0
62.6,0.13,5.8,3,5,1,0,0,0,0
-130.2,-0.29,-16.8,-2,4,1,0,0,0,0
27.0,0.07,2.4,-2,1,1,0,1,0,0
-108.9,-0.31,-6.9,2,4,1,0,0,0,0
-119.7,-0.19,-1.1,0,2,1,0,0,0,0
-79.3,-0.28,-29.3,1,5,1,0,0,0,0
311.4,0.94,39.4,0,0,1,0,0,0,0
-84.6,-0.37,-30.6,0,4,1,0,0,0,0
-55.5,-0.19,2.4,5,5,1,0,1,0,0
-41.7,-0.19,-5.2,2,3,1,0,0,0,0
302.5,0.77,33.0,2,2,1,0,1,0,0
-249.6,-0.38,-7.3,-1,4,1,1,0,0,0
70.2,0.13,6.4,2,3,1,0,1,0,0
-15.4,-0.04,17.9,2,3,1,1,0,0,0
-62.3,-0.22,1.7,1,2,0,0,1,0,0
-104.7,-0.55,-41.7,6,8,1,0,1,0,0
166.4,0.84,28.5,2,3,0,0,1,0,0
409.3,0.96,32.0,2,2,1,0,1,0,0
108.4,0.82,46.7,0,0,0,0,0,0,0
-129.8,-0.28,-27.6,3,6,1,0,1,0,0
220.3,0.94,52.4,1,1,0,0,0,0,0
